Module	Sous_Module	Type	Exercice	Série	Données	Catégorie	Afficher à la fin	Terme;Indice	Phrase Correcte	Réponse	Fichier Audio
1	1	Classique	0	1	des;maisons;.	2;1;0					demod01.mp3
1	1	Classique	0	2	une;ville;.	2;1;0					demod02.mp3
1	1	Classique	0	3	une;ville;moderne;.	2;1;3;0					demod03.mp3
1	1	Classique	0	4	une;grande;ville;.	2;3;1;0					demod04.mp3
1	1	Classique	0	5	des;hommes;célibataires;.	2;1;3;0					demod5.mp3
1	1	Classique	0	6	de;jeunes;hommes;.	2;3;1;0					demod06.mp3
1	1	Classique	1	1	une;maison;.	2;1;0					s01d01.mp3
1	1	Classique	1	2	une;maison;neuve;.	2;1;3;0					s01d02.mp3
1	1	Classique	1	3	une;petite;maison;.	2;3;1;0					s01d03.mp3
1	1	Classique	1	4	une;belle;maison;neuve;.	2;3;1;3;0					s01d04.mp3
1	1	Classique	1	5	une;maison;moderne;agréable;.	2;1;3;3;0					s01d05.mp3
1	1	Classique	1	6	un;livre;.	2;1;0					s01d06.mp3
1	1	Classique	1	7	un;livre;cher;.	2;1;3;0					s01d07.mp3
1	1	Classique	1	8	un;nouveau;livre;.	2;3;1;0					s01d08.mp3
1	1	Classique	1	9	un;bon;livre;facile;.	2;3;1;3;0					s01d09.mp3
1	1	Classique	1	10	un;joli;petit;livre;intéressant.	2;3;3;1;3;0					s01d10.mp3
1	1	Classique	1	11	des;fruits;mûrs;.	2;1;3;0					s01d11.mp3
1	1	Classique	1	12	des;murs;blancs;.	2;1;3;0					s01d12.mp3
1	1	Classique	1	13	des;murs;blancs;lessivés;.	2;1;3;3;0					s01d13.mp3
1	1	Classique	1	14	une;femme;.	2;1;0					s01d14.mp3
1	1	Classique	1	15	une;grande;jeune;femme;brune;.	2;3;3;1;3;0					s01d15.mp3
1	1	Classique	2	1	un;arbre;.	2;1;0					s02d01.mp3
1	1	Classique	2	2	un;gros;arbre;.	2;3;1;0					s02d02.mp3
1	1	Classique	2	3	un;arbre;jeune;.	2;1;3;0					s02d03.mp3
1	1	Classique	2	4	un;jeune;arbre;vert;.	2;3;1;3;0					s02d04.mp3
1	1	Classique	2	5	un;verre;plein;.	2;1;3;0					s02d05.mp3
1	1	Classique	2	6	un;petit;verre;vide;.	2;3;1;3;0					s02d06.mp3
1	1	Classique	2	7	une;grande;cour;vide;.	2;3;1;3;0					s02d07.mp3
1	1	Classique	2	8	des;cheveux;courts;.	2;1;3;0					s02d08.mp3
1	1	Classique	2	9	des;cheveux;sales;.	2;1;3;0					s02d09.mp3
1	1	Classique	2	10	une;belle;salle;carrée;.	2;3;1;3;0					s02d10.mp3
1	1	Classique	2	11	de;longs;cheveux;sales;.	2;3;1;3;0					s02d11.mp3
1	1	Classique	2	12	deux;grands;yeux;bleus;.	2;3;1;3;0					s02d12.mp3
1	1	Classique	2	13	cinq;grands;bâtiments;modernes;.	2;3;1;3;0					s02d13.mp3
1	1	Classique	2	14	un;vieil;homme;fier;.	2;3;1;3;0					s02d14.mp3
1	1	Classique	2	15	de;beaux;jeunes;hommes;libres;.	2;3;3;1;3;0					s02d15.mp3
1	1	Classique	3	1	un;pull;gris;.	2;1;3;0					s03d01.mp3
1	1	Classique	3	2	un;gros;pull;noir;.	2;3;1;3;0					s03d02.mp3
