Module	Sous_Module	Type	Exercice	Série	Données	Catégories	Fichier Audio
2	1	Classique	0	1	Les;paroles;disparaissent;mais;les;écrits;demeurent;.	2;1;7;10;2;1;7;0	demod01.mp3
2	1	Classique	0	2	Le;vent;a;soufflé;et;le;tonnerre;a;grondé;.	2;1;7;7;10;2;1;7;7;0	demod02.mp3
2	1	Classique	0	3	Le;nouveau;ministre;aime;ironiser;ou;polémiquer;.	2;3;1;7;7;10;7;0	demod03.mp3
2	1	Classique	1	1	Les;enfants;jouent;et;crient;.	2;1;7;10;7;0	s01d01.mp3
2	1	Classique	1	2	Le;chercheur;et;ses;doctorants;travaillent;.	2;1;10;2;1;7;0	s01d02.mp3
2	1	Classique	1	3	Le;garagiste;ou;son;apprenti;testera;la;nouvelle;voiture;.	2;1;10;2;1;7;2;3;1;0	s01d03.mp3
2	1	Classique	1	4	Les;travailleurs;voudraient;un;salaire;décent;ou;une;prime;conséquente;.	2;1;7;2;1;3;10;2;1;3;0	s01d04.mp3
2	1	Classique	1	5	Le;taxi;a;déposé;ses;clients;et;leurs;bagages;.	2;1;7;7;2;1;10;2;1;0	s01d05.mp3
2	1	Classique	1	6	Mon;mari;verra;le;médecin;ou;l';infirmière;.	2;1;7;2;1;10;2;1;0	s01d06.mp3
2	1	Classique	1	7	Le;maire;et;ses;adjoints;dirigeront;la;cérémonie;.	2;1;10;2;1;7;2;1;0	s01d07.mp3
2	1	Classique	1	8	Les;jardiniers;planteront;des;platanes;ou;des;érables;.	2;1;7;2;1;10;2;1;0	s01d08.mp3
2	1	Classique	2	1	Les;manifestants;pestent;et;revendiquent;.	2;1;7;10;7;0	s02d01.mp3
2	1	Classique	2	2	La;secrétaire;a;patienté;puis;a;protesté;.	2;1;7;7;10;7;7;0	s02d02.mp3
2	1	Classique	2	3	Les;hommes;et;les;femmes;sont;des;êtres;sociaux;.	2;1;10;2;1;7;2;1;3;0	s02d03.mp3
2	1	Classique	2	4	Les;champignons;peuvent;coloniser;la;peau;ou;les;ongles;.	2;1;7;7;2;1;10;2;1;0	s02d04.mp3
2	1	Classique	2	5	Les;serpents;et;les;lézards;sont;des;reptiles;.	2;1;10;2;1;7;2;1;0	s02d05.mp3
2	1	Classique	2	6	Les;revendications;sont;considérables;mais;les;réponses;paraissent;sommaires;.	2;1;7;3;10;2;1;7;3;0	s02d06.mp3
2	1	Classique	2	7	Des;lycéens;et;des;étudiants;arpentent;le;bitume;.	2;1;10;2;1;7;2;1;0	s02d07.mp3
2	1	Classique	2	8	Les;paradis;fiscaux;attirent;les;malfaiteurs;ou;les;étourdis;.	2;1;3;7;2;1;10;2;1;0	s02d08.mp3
2	1	Classique	3	1	La;neige;est;tombée;et;la;route;glisse;.	2;1;7;7;10;2;1;7;0	s03d01.mp3
2	1	Classique	3	2	La;route;glisse;car;la;neige;est;tombée;.	2;1;7;10;2;1;7;7;0	s03d02.mp3
2	1	Classique	3	3	Le;brouillard;cachait;la;route;et;les;arbres;.	2;1;7;2;1;10;2;1;0	s03d03.mp3
2	1	Classique	3	4	Le;quartier;abrite;une;pharmacie;et;une;boucherie;.	2;1;7;2;1;10;2;1;0	s03d04.mp3
2	1	Classique	3	5	Mon;voisin;prendra;le;bus;ou;son;vélo;.	2;1;7;2;1;10;2;1;0	s03d05.mp3
2	1	Classique	3	6	Deux;gros;tilleuls;ombragent;la;cour;et;la;terrasse;.	2;3;1;7;2;1;10;2;1;0	s03d06.mp3
2	1	Classique	3	7	Un;vent;violent;soufflait;et;les;feuilles;mortes;volaient;.	2;1;3;7;10;2;1;3;7;0	s03d07.mp3
2	1	Classique	3	8	Une;pluie;fine;et;froide;mouille;la;place;centrale;et;les;rues;voisines;.	2;1;3;10;3;7;2;1;3;10;2;1;3;0	s03d08.mp3
2	1	Classique	4	1	Les;parents;boivent;mais;les;enfants;trinquent;.	2;1;7;10;2;1;7;0	s04d01.mp3
2	1	Classique	4	2	Son;jeune;frère;est;venu;puis;est;reparti;.	2;3;1;7;7;10;7;7;0	s04d02.mp3
2	1	Classique	4	3	Tous;les;spectateurs;ont;applaudi;le;chanteur;et;ses;choristes;.	2;2;1;7;7;2;1;10;2;1;0	s04d03.mp3
2	1	Classique	4	4	Le;guitariste;et;le;saxophoniste;jouent;un;morceau;connu;.	2;1;10;2;1;7;2;1;3;0	s04d04.mp3
2	1	Classique	4	5	Le;nouveau;stagiaire;pratique;la;boxe;et;le;judo;.	2;3;1;7;2;1;10;2;1;0	s04d05.mp3
2	1	Classique	4	6	Ces;étudiants;aiment;le;théâtre;et;la;peinture;.	2;1;7;2;1;10;2;1;0	s04d06.mp3
2	1	Classique	4	7	Les;masques;dissimulent;les;visages;et;les;expressions;.	2;1;7;2;1;10;2;1;0	s04d07.mp3
2	1	Classique	4	8	De;gros;ennuis;sont;arrivés;et;la;tension;est;montée;.	2;3;1;7;7;10;2;1;7;7;0	s04d08.mp3
2	2	Classique	0	1	Eva;est;partie;mais;elle;reviendra;.	1;7;7;10;6;7;0	demod01.mp3
2	2	Classique	0	2	Elles;sont;sympa;,;Eva;et;Marie;!	6;7;3;0;1;10;1;0	demod02.mp3
2	2	Classique	0	3	Malik;et;Julie;,;avez-vous;signé;tous;les;documents;?	1;10;1;0;7;6;7;2;2;1;0	demod03.mp3
