Module	Sous_Module	Type	Exercice	Série	Données	Catégorie	Phrase à completer	Verbe	Terminaison	Pronom	Réponse	Suite Mots	Infinitif	Fichiers Audio
3	1	Découvrir	0	1	je;joue	6;oue	Je;ne;joue;pas;à;ce;jeu-là;.							
3	1	Découvrir	0	2	j'avoue	6;oue	J'avoue;mon;ignorance;à;ce;sujet;!							
3	1	Découvrir	0	3	on;distribue	1;ue	On;distribue;un;million;de;tracts;par;an;.							
3	1	Découvrir	0	4	tu;conclus	4;us	Qu'est-ce;que;/tu;en;conclus;?							
3	1	Découvrir	0	5	elle;exclut	5;ut	Elle;n'exclut;aucune;piste;.							
3	1	Découvrir	0	6	tu;dénoues	7;oues	Tu;dénoues;tes;tensions;par;une;respiration;profonde;.							
3	1	Découvrir	0	7	ils;incluent	3;uent	Ils;incluent;les;frais;de;transport;dans;leurs;prix;.							
3	1	Découvrir	0	8	tu;éternues	2;ues	Tu;éternues;souvent;,;tu;as;froid;?							
3	1	Découvrir	0	9	ils;continuent	3;uent	Ils;continuent;d'avancer;malgré;les;difficultés;.							
3	1	Découvrir	0	10	il;recoud	10;oud	Le;travail;de;l'association;recoud;le;lien;familial;et;social;. 							
3	1	Découvrir	0	11	tu;mues	2;ues	Vu;les;variations;actuelles;de;ta;voix;,;je;pense;que;tu;mues;.							
3	1	Découvrir	0	12	je;résous	11;ous	Je;résous;facilement;les;problèmes;informatiques;.							
3	1	Découvrir	0	13	elles;polluent	3;uent	Certaines;usines;polluent;l'atmosphère;.							
3	1	Découvrir	0	14	tu;salues	2;ues	Pourquoi;ne;salues-tu;pas;cette;décision;?							
3	1	Découvrir	0	15	elle;remue	1;ue	Elle;remue;ciel;et;terre;pour;retrouver;son;frère;.							
3	1	Découvrir	0	16	ils;renouent	8;ouent	Ils;renouent;des;liens;d'amitié;.							
3	1	Découvrir	0	17	elle;contribue	1;ue	La;médiation;contribue;à;améliorer;la;communication;.							
3	1	Découvrir	0	18	elles;clouent	8;ouent	Les;intempéries;clouent;les;avions;au;sol;.							
3	1	Découvrir	0	19	je;secoue	6;oue	Je;secoue;la;tête;en;signe;de;désapprobation;.							
3	1	Découvrir	0	20	elle;dissout	12;out	Elle;dissout;son;chagrin;dans;l'alcool;.							
3	1	Découvrir	0	21	tu;mouds	9;ouds	Tu;mouds;un;échantillon;de;café;pour;le;déguster;.							
3	1	Pratiquer	0	1	je;joue	6;oue								
3	1	Pratiquer	0	2	j'avoue	6;oue								
3	1	Pratiquer	0	3	on;distribue	1;ue								
3	1	Pratiquer	0	4	tu;conclus	4;us								
3	1	Pratiquer	0	5	elle;exclut	5;ut								
3	1	Pratiquer	0	6	tu;dénoues	7;oues								
3	1	Pratiquer	0	7	ils;incluent	3;uent								
3	1	Pratiquer	0	8	tu;éternues	2;ues								
3	1	Pratiquer	0	9	ils;continuent	3;uent								
3	1	Pratiquer	0	10	il;recoud	10;oud								
3	1	Pratiquer	0	11	tu;mues	2;ues								
3	1	Pratiquer	0	12	je;résous	11;ous								
3	1	Pratiquer	0	13	elles;polluent	3;uent								
3	1	Pratiquer	0	14	tu;salues	2;ues								
