Module	Sous_Module	Type	Exercice	Série	Données	Catégories	Phrase à associer	Cadre	Association	Nouveau Mot	Réponse	Groupe à Remplacer	Fichiers Audio
4	1	Classique	1	1	Certains;mécanismes;bien;connus;déterminent;/les;prix/	les;2;prix;1							s01d01.mp3
4	1	Classique	1	2	Son;travail;manque;/de;soin/	de;4;soin;1							s01d02.mp3
4	1	Classique	1	3	On;assiste;/à;une;débâcle/	à;4;une;2;débâcle;1							s01d03.mp3
4	1	Classique	1	4	Les;experts;en;conseil;courtisent;/cette;grande;entreprise/	cette;2;grande;3;entreprise;1							s01d04.mp3
4	1	Classique	1	5	Cet;établissement;soigne;/sa;communication/	sa;2;communication;1;							s01d05.mp3
4	1	Classique	1	6	Cette;petite;société;résiste;/à;la;concurrence/	à;4;la;2;concurrence;1							s01d06.mp3
4	1	Classique	1	7	 Il;pense;toujours;/à;sa;carrière/	à;4;sa;2;carrière;1							s01d07.mp3
4	1	Classique	1	8	Son;investissement;récent;a;porté;/ses;fruits/	ses;2;fruits;1							s01d08.mp3
4	1	Classique	1	9	La;directrice;présentera;demain;/les;résultats/	les;2;résultats;1							s01d09.mp3
4	1	Classique	1	10	Mon;collègue;commercial;a;manqué;/sa;négociation/	sa;2;négociation;1							s01d10.mp3
4	2	Classique	1	1	Le;train;arrivera;bientôt;.	[6,3,1];[7];[8]	Il;arrivera;bientôt						
4	2	Classique	1	2	L'avion;amerrit;.	[6,3,1];[7]	Il;amerrit						
4	2	Classique	1	3	La;jeune;contrôleuse;travaille;efficacement;	[6,3,2];[7];[8]	Elle;travaille;efficacement						
4	2	Classique	1	4	Les;hôtesses;de;l'air;fascinent;souvent;.	[6,9,2];[7];[8]	Elles;fascinent;souvent						
4	2	Classique	1	5	Le;funiculaire;attire;particulièrement;.	[6,3,1];[7];[8]	Il;attire;particulièrement						
4	2	Classique	1	6	Pierre;et;moi;conduirons;suffisamment;tôt;.	[6,7,1];[7];[8];[8]	Nous;conduirons;suffisamment;tôt						
4	2	Classique	1	7	Son;ancien;trimaran;fonctionne;parfaitement;.	[6,3,1];[7];[8]	Il;fonctionne;parfaitement						
4	2	Classique	1	8	Ton;confrère;et;toi;embarquerez;tard;le;soir;.	[6,8,1];[7];[8];[2];[1]	Vous;embarquerez;tard;le;soir						
4	2	Classique	1	9	Le;chauffeur;et;les;passagers;dorment;.	[6,9,1];[7]	Ils;dorment						
4	2	Classique	1	10	Les;autocars;récents;paraissent;grandioses;.	[6,9,1];[7];[3]	Ils;paraissent;grandioses						
4	3	Classique	1	1	/Ce;poissonnier/;annonce;/le;prix;attractif;du;saumon/;.	[6,3,1];[6,4,3];[7]	Il;l';annonce						
4	3	Classique	1	2	/La;foule/;attend;patiemment;/l';ouverture;du;marché/;.	[6,3,2];[6,4,4];[7];[8]	Elle;l';attend;patiemment						
4	3	Classique	1	3	/Ce;miel;de;châtaignes/;dégage;/un;parfum;très;particulier/;.	[6,3,1];[6,5,3];[7];[2];[8];[3]	Il;en;dégage;un;très;particulier						
4	3	Classique	1	4	/Ces;adolescents/;vendent;/un;lot;de;jeux;vidéo/;.	[6,9,1];[6,5,3];[7];[2]	Ils;en;vendent;un						
4	3	Classique	1	5	/Mon;oncle/;vend;/les;tomates;de;son;jardin/;.	[6,3,1];[6,10,4];[7]	Il;les;vend						
4	3	Classique	1	6	/Le;producteur;et;sa;femme/;exposent;/leurs;délicieux;produits;locaux/;.	[6,9,1];[6,10,3];[7]	Ils;les;exposent						
4	3	Classique	1	7	/Lola;et;Johanna/;achètent;encore;/un;joli;souvenir/;.	[6,9,2];[6,5,3];[7];[8];[2]	Elles;en;achètent;encore;un						
4	3	Classique	1	8	/Le;marché;dominical/;attire;/beaucoup;de;monde/;.	[6,3,1];[6,5,3];[7];[2]	Il;en;attire;beaucoup						
4	3	Classique	1	9	/Cet;artisan/;fabrique;/des;couteaux;magnifiques/;.	[6,3,1];[6,11,3];[7]	Il;en;fabrique						
4	3	Classique	1	10	/Cette;petite;fille/;cherche;/désespérément;ses;parents/;.	[6,3,2];[6,10,3];[7];[8]	Elle;les;cherche;désespérément						
4	4	Classique	1	1	Elle;se;parle;.		Elle;parle;à;elle-même;.	2					
4	4	Classique	1	1	Elle;te;peigne;.		Elle;peigne;toi-même;.	1					
4	4	Classique	1	1	Elle;m'envoie;la;balle;.		Elle;envoie;la;balle;à;moi-même;.	2					
4	4	Classique	1	1	Elle;se;coupe;les;ongles;.		Elle;coupe;les;ongles;d';elle-même;.	2					
4	4	Classique	1	1	Elle;s'endort;.		Elle;endort;elle-même;.	1					
