Module	Sous_Module	Type	Exercice	Série	Données	Placement réponse	Phrase à associer	Association	Nouveau mot	Réponse	Catégorie	Verbe	Désinence	Fichier Audio
5	1	Découvrir	1	1	Ces;dernières;années;,;les;grosses;entreprises;distribuaient;d';importants;dividendes;aux;actionnaires;.	1;6							distribu/ais;distribu/ais;distribu/ait;distribu/ions;distribu/iez;distribu/aient	s01p1d01.mp3
5	1	Découvrir	1	1	En;général;,;le;facteur;distribue;le;courrier;l’après-midi;.	2;3							distribu/e;distribu/es;distribu/e;distribu/ons;distribu/ez;distribu/ent	s01p1d02.mp3
5	1	Découvrir	1	1	À;partir;du;mois;prochain;,;le;facteur;distribuera;le;courrier;en;vélo;électrique;.	3;3							distribue/rai;distribue/ras;distribue/ra;distribue/rons;distribue/rez;distribue/ront	s01p1d03.mp3
5	1	Découvrir	1	1	Je;distribuerai;les;flyers;à;partir;de;demain;soir;.	3;1								s01p1d04.mp3
5	1	Découvrir	1	1	Les;commerçants;ne;distribuent;plus;de;sacs;gratuitement;.	2;6								s01p1d05.mp3
5	1	Découvrir	1	1	Quelle;prime;annuelle;distribuait-on;aux;salariés;?	1;3								s01p1d06.mp3
5	1	Pratiquer	1	1	Je;ne;/gagne/;jamais;à;ce;jeu-là;.	1;1								s01p2d01.mp3
5	1	Pratiquer	1	2	Je;ne;/gagnerai/;sans;doute;pas;.	10;1								s01p2d02.mp3
5	1	Pratiquer	1	3	Je;/gagnais/;bien;ma;vie;.	0;1								s01p2d03.mp3
5	1	Pratiquer	1	4	Tu;/conseilles/;bien;les;clients;.	1;2								s01p2d04.mp3
5	1	Pratiquer	1	5	Quel;modèle;lui;/conseilleras/-tu;?	10;2								s01p2d05.mp3
5	1	Pratiquer	1	6	Tu;/conseillais/;toujours;la;prudence;.	0;2								s01p2d06.mp3
5	1	Pratiquer	1	7	Sa;réussite;/témoigne/;de;son;audace;.	1;3								s01p2d07.mp3
5	1	Pratiquer	1	8	Le;suspect;/témoignait/;devant;les;juges;.	0;3								s01p2d08.mp3
5	1	Pratiquer	1	9	Elle;/témoignera/;de;ton;implication;.	10;3								s01p2d09.mp3
5	1	Pratiquer	1	10	Nous;/collons/;des;affiches;matin;et;soir;.	1;4								s01p2d10.mp3
5	1	Pratiquer	1	11	Nous;/collions/;des;images;;dans;le;temps;.	0;4								s01p2d11.mp3
5	1	Pratiquer	1	12	Nous;/collerons/;les;affiches;dès;leur;arrivée;.	10;4								s01p2d12.mp3
5	1	Pratiquer	1	13	Vous;/nagez/;très;bien;.	1;5								s01p2d13.mp3
5	1	Pratiquer	1	14	Vous;/nagerez/;la;brasse;pendant;30mn;.	10;5								s01p2d14.mp3
5	1	Pratiquer	1	15	Vous;/nagiez/;tous;les;jours;.	0;5								s01p2d15.mp3
5	1	Pratiquer	1	16	Les;agents;de;sécurité;/fouillent/;systématiquement;les;sacs;des;visiteurs;.	1;6								s01p2d16.mp3
5	1	Pratiquer	1	17	Les;gendarmes;/fouilleront/;la;forêt;.	10;6								s01p2d17.mp3
5	1	Pratiquer	1	18	Les;curieux;/fouillaient/;partout;.	0;6								s01p2d18.mp3
5	2	Découvrir	1	1	Il;faut 		que;je;finisse;mon;travail;.	1						
5	2	Découvrir	1	1	Il;dit		que;je;finis;toujours;par;gagner;.	2						
5	2	Découvrir	1	1			que;tu;écrives;un;résumé;.	1						
5	2	Découvrir	1	1			que;tu;écris;bien;.	2						
5	2	Découvrir	1	1			qu'elle;devienne;plus;responsable;.	1						
5	2	Découvrir	1	1			qu'elle;devient;sage;.	2						
5	2	Découvrir	1	1			que;nous;mettions;le;couvert;.	1						
5	2	Découvrir	1	1			que;nous;mettons;trop;de;temps;.	2						
5	2	Découvrir	1	1			qu'elles;sachent;leur;leçon;.	1						
5	2	Découvrir	1	1			que;nous;le;sachions;avant;midi;.	1						
5	2	Pratiquer	1	1	Il;faudra;qu';il;/finisse/;par;admettre;son;erreur;.						[6,3,1];[7,12,3]	finir		
5	2	Pratiquer	1	2	Le;responsable;veut;que;nous;/écrivions/;à;nos;clients;.						[6,4,1];[7,12,4]	écrire		
5	2	Pratiquer	1	3	Théo;voudrait;que;je;/devienne/;responsable;d';équipe;.						[6,1,1];[7,12,1]	devenir		
5	2	Pratiquer	1	4	Le;comptable;aimerait;qu’Inès;/mette/;en;place;une;procédure;plus;stricte;.						[6,3,2][7,12,3]	mettre		
