MODULE	SOUS_MODULE	Type	Exercice	Série	Données	Placement réponse	Réponse	Placement 1	Placement 2	Fichier Audio	Audio A	Audio B	Audio C
6	1	Classique	1	1	acheter;acheté;achetée;achetés;achetées								
6	1	Classique	1	1	cueillir;cueilli;cueillie;cueillis;cueillies								
6	1	Classique	1	1	avoir;eu;eue;eus;eues								
6	1	Classique	1	1	conduire;conduit;conduite;conduits;conduites								
6	1	Classique	1	1	mettre;mis;mise;mis;mises								
6	1	Classique	1	1	inclure;inclus;incluse;inclus;incluses								
6	1	Classique	1	1	ouvrir;ouvert;ouverte;ouverts;ouvertes								
6	1	Classique	1	1	faire;fait;faite;faits;faites								
6	1	Classique	1	1	craindre;craint;crainte;craints;craintes								
6	1	Classique	1	1	peindre;peint-peinte;peints;peintes								
6	1	Classique	1	1	joindre;joint;jointe;joints;jointes								
6	1	Classique	1	1	entrer;entré;entrée;entrés;entrées								
6	2	Classique	1	1	vivait	2				s01d01.mp3			
6	2	Classique	1	1	habitait	2				s01d02.mp3			
6	2	Classique	1	1	a;vécu	3;4				s01d03.mp3			
6	2	Classique	1	1	a;habité	3;4				s01d04.mp3			
6	2	Classique	1	1	va;vivre	2;1				s01d05.mp3			
6	2	Classique	1	1	va;habiter	2;1				s01d06.mp3			
6	2	Classique	1	2	finissent	2				s01d07.mp3			
6	2	Classique	1	2	terminent	2				s01d08.mp3			
6	2	Classique	1	2	ont;fini	3;4				s01d09.mp3			
6	2	Classique	1	2	ont;terminé	3;4				s01d10.mp3			
6	2	Classique	1	2	vont;finir	2;1				s01d11.mp3			
6	2	Classique	1	2	vont;terminer	2;1				s01d12.mp3			
6	2	Classique	1	3	couvriront	2				s01d13.mp3			
6	2	Classique	1	3	protégera	2				s01d14.mp3			
6	2	Classique	1	3	avaient;couvert	3;4				s01d15.mp3			
6	2	Classique	1	3	avait;protégé	3;4				s01d16.mp3			
6	2	Classique	1	3	doivent;couvrir	2;1				s01d17.mp3			
6	2	Classique	1	3	doit;protéger	2;1				s01d18.mp3			
6	3	Classique	1	1	Elles;/ont/;/monté/;le;stand;hier;.	[6,8,2];[7,1,6];[7,1,1]				s01d01.mp3			
6	3	Classique	1	2	Il;/a/;/monté/;une;entreprise;.	[6,3,1];[7,1,3];[7,1,1]				s01d02.mp3			
6	3	Classique	1	3	Elle;/a/;/monté/;seule;son;association;.	[6,3,2];[7,1,3];[7,1,1]				s01d03.mp3			
6	3	Classique	1	4	Nous;/avons/;/monté/;un;nouveau;projet;.	[6,6,1];[7,1,4];[7,1,1]				s01d04.mp3			
6	3	Classique	1	5	Tu;/as/;/monté/;ce;projet;rapidement;!	[6,2,2];[7,1,2];[7,1,1]				s01d05.mp3			
6	3	Classique	1	6	J';/ai/;/monté/;une;pièce;de;théâtre;.	[6,1,2];[7,1,1];[7,1,1]				s01d06.mp3			
6	3	Classique	1	7	Elles;/sont/;/montées/;à;pied;.	[6,8,2];[7,2,6];[7,5,1]				s01d07.mp3			
6	3	Classique	1	8	Ils;/sont/;/montés/;au;deuxième;étage;.	[6,8,1];[7,2,6];[7,4,1]				s01d08.mp3			
6	3	Classique	1	9	Elle;/est/;/montée/;la;première;.	[6,3,2];[7,2,3];[7,3,1]				s01d09.mp3			
6	3	Classique	1	10	Je;/suis/;/montée/;à;sept;heures;.	[6,1,2];[7,2,1];[7,3,1]				s01d10.mp3			
6	3	Classique	1	11	Vous;/êtes/;/montés/;trop;vite;.	[6,7,1];[7,2,5];[7,4,1]				s01d11.mp3			
6	3	Classique	1	12	On;/est/;/monté/;aussi;vite;que;possible;.	[6,3,3];[7,2,3];[7,2,1]				s01d12.mp3			
6	4	Classique	1	1	Elle;/a/;/racheté/[les;locaux]et[les];/a/;/modernisés/;.			[6,3,2];[7,1,3];[7,1,1]	[6,3,2];[6,8,4];[7,1,3];[7,3,1]		s01d01A.mp3	s01d01B.mp3	
6	4	Classique	1	2	J';/ai/;/découvert/[une;nouvelle;équipe]je[l']/ai/;immédiatement;/appréciée/;.			[6,1,1];[7,1,1];[7,1,10]	[6,1,1];[6,3,5];[7,1,1];[7,2,1]		s01d02A.mp3	s01d02B.mp3	
6	4	Classique	1	3	Ils;/ont/;d';abord;/déplacé/[la;réunion]",puis[l']/ont/;finalement;/annulée/;.			[6,8,1];[7,1,6];[7,1,1]	[6,8,1];[6,3,5];[7,1,6];[7,2,1]		s01d03A.mp3	s01d03B.mp3	
6	4	Classique	1	4	Nous;/avons/;/installé/[les;machines];hier",et[les];/avons/;aussitôt;/mises/;en;service;.			[6,6,2];[7,1,4];[7,1,1]	[6,6,2];[6,8,5];[7,1,4];[7,4,5]		s01d04A.mp3	s01d04B.mp3	
6	4	Classique	1	5	Théo;/a/;/reçu/[de;nouveaux;produits]",et[les];/a/;/testés/;le;jour;même;.			[6,3,1];[7,1,3];[7,1,2]	[6,3,1];[6,8,4];[7,1,3];[7,3,1]		s01d05A.mp3	s01d05B.mp3	
